employee_id,department,role,team_size,sprint_number,project_name,experience_years,previous_kpis_count,previous_kpi_met_rate,kpi_type,unit,target_value,duration_days,work_style,pace_ratio,halfway_completion,update_frequency,pace_trend,days_remaining_pct,fell_behind,n_updates,days_since_last_update,total_output_pct,engagement_score,risk_score,consistency_score,historical_success_rate,met_target
56,Sales,designer,5,10,Sprint 10,10.1,11,0.47,Onboard new clients,clients,17,34,steady,0.9508,0.4634,1.0689,-0.2478,0.0358,0,13,1,0.979,0.884,0.235,1.0,0.304,1
57,Product,developer,6,8,Sprint 8,2.2,6,0.32,Run quality tests,tests,62,120,struggling,0.6075,0.2443,0.1977,-1.2056,0.1445,0,12,12,0.493,0.672,0.327,0.874,0.359,0
58,Product,consultant,11,17,Sprint 17,9.2,3,0.83,Complete code reviews,reviews,79,85,slow_starter,0.37,0.4069,0.5479,-0.7623,0.3995,1,8,6,0.81,0.345,0.761,0.959,0.805,0
59,Engineering,engineer,10,10,Sprint 10,10.6,4,0.64,Resolve bug reports,bugs,16,166,steady,1.1848,0.3648,1.3942,0.1466,0.053,0,17,0,0.67,1.0,0.147,0.936,0.78,1
60,QA,developer,4,2,Sprint 2,4.2,15,0.11,Close support tickets,tickets,186,102,strong_starter,0.6,0.7775,1.1517,0.2436,0.051,1,14,1,1.15,0.751,0.534,0.972,0.105,1
61,Marketing,developer,3,8,Sprint 8,2.2,13,0.61,Process sales leads,leads,191,43,steady,1.18,0.3006,0.6216,1.1676,0.1154,0,12,2,0.689,0.787,0.099,0.963,0.532,1
62,Product,tester,8,10,Sprint 10,8.7,1,0.61,Run quality tests,tests,68,145,struggling,0.8102,0.0446,0.9287,0.1699,0.3358,0,9,16,0.141,0.779,0.299,0.858,0.612,0
63,Engineering,analyst,5,6,Sprint 6,8.5,5,0.0,Conduct client calls,calls,100,84,strong_starter,1.2346,0.4384,1.1435,-0.4809,0.045,0,7,0,0.767,0.995,0.127,0.953,0.211,1
64,Product,consultant,9,3,Sprint 3,10.5,8,0.79,Resolve bug reports,bugs,19,89,strong_starter,1.2283,0.5659,0.7882,1.1203,0.0482,0,13,7,1.15,0.958,0.004,0.92,0.932,1
65,Sales,developer,4,3,Sprint 3,1.4,9,0.6,Conduct client calls,calls,74,59,slow_starter,0.937,0.7937,1.3206,-0.2687,0.1569,0,16,3,1.15,1.0,0.075,0.945,0.65,1
66,QA,developer,10,18,Sprint 18,7.7,2,0.6,Onboard new clients,clients,6,149,struggling,0.748,0.0997,0.7341,0.3216,0.3784,0,10,12,0.229,0.777,0.288,0.941,0.617,0
67,Marketing,tester,2,22,Sprint 22,12.4,18,0.04,Process sales leads,leads,94,36,strong_starter,1.1706,0.3613,0.7124,1.5085,0.0964,0,15,2,0.833,0.903,0.098,0.949,0.003,1
68,QA,consultant,9,3,Sprint 3,7.3,13,0.33,Onboard new clients,clients,11,76,struggling,0.5827,0.2536,0.6866,-0.8766,0.4758,1,4,7,0.441,0.504,0.701,0.959,0.211,0
69,QA,tester,2,15,Sprint 15,1.8,8,0.32,Write documentation pages,pages,36,156,steady,1.1694,0.6645,1.108,1.522,0.0534,0,18,6,1.15,1.0,0.106,1.0,0.278,1
70,Engineering,analyst,10,12,Sprint 12,9.5,15,0.63,Run quality tests,tests,20,168,steady,0.9908,0.5006,0.6229,-0.6605,0.0096,0,9,1,0.947,0.924,0.104,1.0,0.613,1
71,QA,engineer,2,21,Sprint 21,9.3,7,0.71,Run quality tests,tests,36,103,steady,1.0871,0.6345,0.6983,0.7707,0.115,0,14,2,1.15,0.813,0.048,0.949,0.666,1
72,Engineering,designer,3,21,Sprint 21,12.6,15,0.93,Deploy system updates,updates,11,87,struggling,0.5279,0.4784,1.0462,-0.9778,0.1835,1,8,5,0.895,0.674,0.57,1.0,1.0,0
73,Marketing,analyst,8,7,Sprint 7,13.9,16,0.75,Deploy system updates,updates,36,150,steady,0.9407,0.4857,1.1772,0.7179,0.1593,1,21,1,1.001,0.654,0.441,0.992,0.894,1
74,Engineering,developer,6,19,Sprint 19,8.9,15,0.87,Deploy system updates,updates,27,159,strong_starter,0.9654,0.5713,1.0744,1.6572,0.3274,0,10,1,1.15,0.966,0.235,1.0,0.841,1
75,Product,analyst,5,19,Sprint 19,6.1,13,0.04,Write documentation pages,pages,45,169,strong_starter,1.2536,0.6952,1.359,0.908,0.196,0,17,4,1.15,1.0,0.0,1.0,0.0,1
76,Engineering,analyst,10,19,Sprint 19,5.3,3,0.87,Deploy system updates,updates,30,68,strong_starter,1.1959,0.4849,1.0898,1.7563,0.1172,0,13,0,1.15,1.0,0.184,0.985,0.888,1
77,Sales,engineer,9,9,Sprint 9,5.4,12,0.65,Onboard new clients,clients,3,66,slow_starter,1.1648,0.7608,1.0476,0.6569,0.1547,0,13,1,1.15,1.0,0.0,0.991,0.594,1
78,QA,tester,2,20,Sprint 20,1.5,20,0.68,Run quality tests,tests,68,111,strong_starter,1.0227,0.0715,0.4523,0.0649,0.5192,1,6,5,0.238,0.253,0.46,0.977,0.64,0
79,Engineering,designer,4,23,Sprint 23,4.8,0,0.5,Deliver product features,features,35,55,struggling,0.4243,0.4063,0.6931,-0.9705,0.1208,1,9,11,0.729,0.633,0.655,0.724,0.445,0
80,Sales,tester,8,19,Sprint 19,10.4,5,0.17,Resolve bug reports,bugs,60,125,slow_starter,1.0881,0.5741,0.998,0.7373,0.0,1,18,1,1.15,0.716,0.415,1.0,0.206,1
81,Sales,analyst,9,21,Sprint 21,4.2,8,0.67,Process sales leads,leads,91,157,slow_starter,0.8735,0.4994,0.679,0.4299,0.2874,0,11,4,1.132,0.783,0.129,0.981,0.616,0
82,Product,tester,6,21,Sprint 21,14.4,8,0.46,Resolve bug reports,bugs,84,70,struggling,1.3186,0.4486,0.9283,-1.7285,0.0593,0,3,0,0.78,0.993,0.059,0.952,0.456,1
83,Product,tester,6,23,Sprint 23,4.8,12,0.27,Onboard new clients,clients,6,90,strong_starter,1.0991,0.3778,1.5912,1.3151,0.0801,0,13,2,0.753,1.0,0.113,0.928,0.248,1
84,Product,analyst,11,12,Sprint 12,3.7,6,0.62,Close support tickets,tickets,195,157,struggling,1.1854,0.3961,0.4486,0.2798,0.4959,1,9,8,0.782,0.366,0.427,0.994,0.671,0
85,QA,engineer,11,12,Sprint 12,11.1,2,0.91,Complete code reviews,reviews,54,40,steady,1.3729,0.4651,1.5279,0.5674,0.2868,0,10,5,0.993,1.0,0.0,0.859,0.944,1
86,Product,tester,10,9,Sprint 9,12.5,8,0.91,Conduct client calls,calls,36,168,struggling,0.8412,0.2139,0.6127,2.0065,0.5419,0,8,8,0.52,0.713,0.248,0.94,0.777,0
87,Engineering,analyst,5,22,Sprint 22,11.0,12,0.97,Resolve bug reports,bugs,58,59,steady,1.2038,0.6306,0.9157,2.0814,0.0,0,7,2,1.15,1.0,0.006,1.0,0.967,1
88,QA,developer,12,24,Sprint 24,10.2,18,0.38,Deploy system updates,updates,6,97,steady,1.0551,0.6637,1.3018,-1.384,0.2329,0,18,0,1.15,1.0,0.092,0.972,0.326,1
89,Marketing,developer,11,8,Sprint 8,9.9,20,0.82,Conduct client calls,calls,80,36,strong_starter,0.6931,0.4759,0.7831,-0.7577,0.408,0,2,13,0.793,0.773,0.224,0.574,0.913,0
90,Engineering,developer,9,4,Sprint 4,1.9,17,0.14,Deploy system updates,updates,13,65,strong_starter,0.9784,0.5885,1.064,0.8747,0.1069,0,7,3,1.15,0.916,0.111,1.0,0.208,1
91,Sales,designer,12,4,Sprint 4,12.6,19,0.41,Run quality tests,tests,73,180,steady,0.6059,0.2476,0.5235,1.9344,0.3535,0,8,13,0.603,0.69,0.374,0.924,0.407,0
92,Sales,developer,3,22,Sprint 22,5.8,20,0.36,Write documentation pages,pages,23,143,steady,1.2892,0.5473,1.3291,0.2612,0.1071,0,5,3,1.14,1.0,0.0,1.0,0.349,1
93,Sales,consultant,12,20,Sprint 20,14.6,1,0.79,Deliver product features,features,60,146,steady,1.3881,0.3944,1.2883,-0.8088,0.0439,0,20,1,0.736,1.0,0.051,1.0,0.819,1
94,Marketing,analyst,11,7,Sprint 7,12.3,7,0.33,Process sales leads,leads,82,47,struggling,1.2,0.2914,0.6803,0.8057,0.4548,1,10,11,0.573,0.517,0.375,0.781,0.27,0
95,Marketing,developer,4,4,Sprint 4,10.1,0,0.5,Close support tickets,tickets,110,67,slow_starter,0.6827,0.3493,0.7164,0.1141,0.5259,1,8,6,0.755,0.488,0.561,0.94,0.556,0
96,Product,engineer,4,24,Sprint 24,6.6,3,0.75,Conduct client calls,calls,95,112,slow_starter,1.0226,0.7326,1.029,0.4881,0.0844,0,13,0,1.15,1.0,0.029,0.95,0.578,1
97,Sales,tester,2,24,Sprint 24,11.9,16,0.3,Run quality tests,tests,95,57,steady,0.9339,0.3548,1.6383,1.4608,0.0381,0,22,3,0.797,1.0,0.335,0.878,0.168,1
98,QA,consultant,9,3,Sprint 3,13.5,10,0.61,Onboard new clients,clients,15,139,strong_starter,0.9761,0.65,1.0353,0.2703,0.3833,1,9,11,1.15,0.604,0.411,0.883,0.588,0
99,Marketing,tester,6,15,Sprint 15,7.8,13,0.1,Process sales leads,leads,170,113,slow_starter,0.6598,0.5262,0.7439,-0.8639,0.1162,0,18,3,0.883,0.813,0.325,0.924,0.082,1
100,Sales,designer,7,15,Sprint 15,6.3,3,0.31,Run quality tests,tests,112,85,steady,1.243,0.4044,1.1158,-1.1174,0.0459,0,14,0,0.741,1.0,0.109,1.0,0.419,1
101,Engineering,engineer,8,4,Sprint 4,11.3,11,0.81,Complete code reviews,reviews,151,47,strong_starter,1.1326,0.4799,1.1216,0.9476,0.1044,0,13,0,1.018,0.947,0.19,0.938,0.755,1
102,QA,developer,12,14,Sprint 14,13.1,1,0.97,Run quality tests,tests,91,114,slow_starter,0.506,0.4342,0.5315,1.0225,0.2057,1,7,3,1.065,0.392,0.683,1.0,1.0,0
103,QA,analyst,3,12,Sprint 12,12.8,11,0.11,Process sales leads,leads,159,84,steady,1.0518,0.5218,1.0949,0.1883,0.1867,0,21,0,0.995,0.978,0.252,0.96,0.241,1
104,Product,engineer,4,9,Sprint 9,10.7,9,0.92,Deploy system updates,updates,41,172,steady,1.5362,0.4625,1.2735,2.1412,0.0659,0,12,0,1.072,1.0,0.0,1.0,0.858,1
105,Engineering,engineer,10,7,Sprint 7,6.0,14,0.34,Complete code reviews,reviews,174,132,strong_starter,1.1608,0.3222,1.1925,1.2669,0.0,0,14,4,0.665,1.0,0.16,0.934,0.336,1
106,Sales,analyst,11,2,Sprint 2,10.3,8,0.44,Process sales leads,leads,182,51,struggling,0.8507,0.3114,0.7816,-1.3627,0.3237,1,2,7,0.493,0.479,0.628,0.917,0.489,0
107,Engineering,developer,8,4,Sprint 4,4.6,18,0.49,Deploy system updates,updates,23,85,steady,0.4051,0.2525,0.9839,-0.1941,0.6247,1,8,8,0.48,0.513,0.755,0.941,0.567,0
108,Product,analyst,4,9,Sprint 9,4.7,3,0.01,Deploy system updates,updates,44,44,steady,0.8956,0.3536,0.4557,0.9088,0.0007,0,4,2,0.896,0.782,0.278,0.959,0.002,1
109,Product,engineer,8,24,Sprint 24,1.1,0,0.5,Deploy system updates,updates,40,88,steady,1.339,0.4994,1.1709,0.7039,0.0399,0,16,1,1.031,1.0,0.0,0.99,0.499,1
110,QA,developer,3,13,Sprint 13,0.8,10,0.17,Write documentation pages,pages,46,139,slow_starter,0.9932,0.3712,0.6125,0.5495,0.4946,0,8,8,0.718,0.643,0.176,0.912,0.155,0
111,Sales,designer,11,13,Sprint 13,8.1,12,0.87,Write documentation pages,pages,15,141,strong_starter,0.7153,0.3795,0.5989,0.1852,0.309,0,2,3,0.766,0.686,0.33,1.0,0.968,0
112,Marketing,tester,5,12,Sprint 12,5.6,20,0.82,Complete code reviews,reviews,49,160,steady,0.6424,0.5236,0.6646,-0.7208,0.2141,1,6,6,0.98,0.51,0.586,0.984,0.915,0
113,Engineering,analyst,12,16,Sprint 16,7.2,18,0.76,Conduct client calls,calls,42,69,struggling,0.9564,0.0773,0.1,0.6778,0.1086,1,6,2,0.075,0.334,0.632,0.942,0.553,0
114,Product,analyst,9,3,Sprint 3,7.3,20,0.3,Process sales leads,leads,194,112,steady,0.5525,0.3588,0.1763,-0.1483,0.2979,1,8,8,0.658,0.341,0.663,0.927,0.225,0
115,Engineering,engineer,7,10,Sprint 10,1.6,2,0.62,Run quality tests,tests,29,109,strong_starter,0.9847,0.4161,1.0212,2.2329,0.0,0,6,4,1.008,0.975,0.233,0.933,0.766,1
116,Marketing,consultant,5,11,Sprint 11,9.3,16,0.15,Run quality tests,tests,114,40,steady,1.2763,0.4717,1.8135,-0.3163,0.1668,1,14,4,0.992,0.977,0.31,0.923,0.096,1
117,Sales,engineer,5,23,Sprint 23,6.8,14,0.52,Write documentation pages,pages,55,51,steady,1.6235,0.5591,0.9558,0.5531,0.0,0,9,4,1.147,0.93,0.0,0.981,0.578,1
118,Marketing,engineer,12,21,Sprint 21,5.4,10,0.09,Resolve bug reports,bugs,64,134,strong_starter,0.9689,0.1865,0.1935,1.3015,0.2548,1,6,14,0.449,0.324,0.665,0.863,0.164,0
119,Sales,developer,6,21,Sprint 21,10.6,12,0.13,Process sales leads,leads,68,115,steady,1.1148,0.5776,1.5997,0.9086,0.1484,0,17,1,1.15,1.0,0.0,1.0,0.042,1
120,Marketing,engineer,12,22,Sprint 22,6.6,11,0.02,Run quality tests,tests,68,114,struggling,0.6403,0.2585,0.7122,0.5473,0.4205,1,5,7,0.559,0.446,0.747,0.963,0.079,0
121,Sales,analyst,3,10,Sprint 10,12.7,3,0.51,Write documentation pages,pages,70,154,slow_starter,1.2723,0.7043,1.1415,-1.0765,0.136,0,10,0,1.15,1.0,0.0,1.0,0.646,1
122,Marketing,analyst,11,13,Sprint 13,2.7,5,0.83,Run quality tests,tests,24,116,struggling,0.765,0.65,0.7897,-2.2868,0.4055,0,8,14,1.036,0.787,0.138,0.869,0.762,0
123,Sales,designer,11,10,Sprint 10,11.4,14,0.23,Complete code reviews,reviews,142,41,struggling,0.9491,0.6224,1.6478,0.7841,0.0,0,14,4,1.15,1.0,0.134,0.863,0.282,1
124,Marketing,designer,9,10,Sprint 10,11.8,16,0.53,Onboard new clients,clients,9,124,struggling,0.6673,0.3629,0.3538,-0.8312,0.4011,0,5,16,0.646,0.632,0.371,0.8,0.389,0
125,QA,developer,10,4,Sprint 4,10.8,16,0.85,Process sales leads,leads,65,94,slow_starter,0.7033,0.7168,0.8924,3.164,0.0492,0,13,5,1.15,1.0,0.264,0.998,0.897,1
126,QA,engineer,5,15,Sprint 15,13.3,0,0.5,Resolve bug reports,bugs,72,161,steady,1.3024,0.4628,0.8018,0.3463,0.0847,0,11,3,1.005,0.9,0.114,0.924,0.485,1
127,Product,analyst,2,11,Sprint 11,14.0,20,0.34,Write documentation pages,pages,25,128,steady,0.5065,0.02,0.5952,-0.4839,0.5119,1,8,2,0.131,0.446,0.821,0.973,0.263,0
128,QA,designer,11,1,Sprint 1,13.6,0,0.5,Onboard new clients,clients,25,65,struggling,0.5995,0.4633,1.1854,1.3476,0.2316,1,3,8,0.963,0.721,0.614,0.854,0.372,0
129,Product,analyst,6,4,Sprint 4,1.2,13,0.64,Run quality tests,tests,113,165,steady,1.2335,0.4654,0.6822,-2.8095,0.0975,0,20,5,0.646,0.814,0.09,0.92,0.664,1
130,Marketing,tester,5,23,Sprint 23,2.6,13,0.0,Onboard new clients,clients,22,167,strong_starter,1.2992,0.7118,1.0459,0.126,0.021,0,9,1,1.15,1.0,0.0,1.0,0.0,1
131,Engineering,tester,10,17,Sprint 17,11.9,16,0.55,Complete code reviews,reviews,51,164,slow_starter,0.6942,0.1879,0.1,0.6224,0.4032,1,6,8,0.425,0.141,0.639,0.991,0.45,0
132,Product,engineer,7,8,Sprint 8,11.1,20,0.1,Deploy system updates,updates,29,94,struggling,0.7793,0.0965,0.7599,-0.3892,0.0739,1,10,4,0.145,0.592,0.717,0.907,0.105,0
